name,type,city,district,address_clean,latitude,longitude,hours,geocode_status
TBC-Vaja-fshavela,Dropper,Tbilisi,Didube,ვაჟა-ფშაველას 49,41.7266071,44.7384284,,success
BOG 8,Dropper,Tbilisi,Didube,ვაჟა ფშაველას 76,41.7234783,44.731682,,success
Reiman-2,Dropper,Tbilisi,Didube,სანდრო ეულის 7,41.7236913,44.7173223,,success
Alte University,Dropper,Tbilisi,Didube,უნივერსიტეტის 2,41.7180343,44.721944,,success
co-working radius,Dropper,Tbilisi,Saburtalo,დიდუბე პლაზა წერეთელი,41.738473,44.7804596,,success
Sulxan saba,Dropper,Tbilisi,Mtatsminda/Krtsanisi,კ.ქუთათელაძის 3,41.6934591,44.8014495,,city_only
wkalburtis akademia,Dropper,Tbilisi,Didube,პოლიტკოვსკაიას ქუჩა 30,41.7200665,44.7080382,,success
Bravo Records,Dropper,Tbilisi,Chughureti/Central,კოსტავას 68/2,41.7109541,44.783958,,success
BOG Bakhtrioni,Dropper,Tbilisi,Didube,ბახტრიონის 22,41.7200934,44.7657356,,success
Bank of Georgia iTower,Dropper,Tbilisi,Saburtalo,გაგარინის 29,41.7351516,44.7701096,,success
TBILISI-ENERGY 1,Dropper,Tbilisi,Didube,მიცკევიჩის 18ა,41.7242165,44.7670644,,success
BOG_9,Dropper,Tbilisi,Didube,მიხეილ ბურძგლა 56,41.7231348,44.7612676,,success
Rev-Administration,Dropper,Tbilisi,Chughureti/Central,ალექსიძის 1,41.7172225,44.7814241,,success
tbc chavchavadze,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ჭავჭავაძის 2,41.6871065,44.7754164,,success
bog-10,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ბიძინა კვერნაძე,41.6881245,44.8106036,,success
palitra media 2,Dropper,Tbilisi,Didube,იოსებიძის 49,41.7253135,44.7732015,,success
Revenue-Service-Airport,Dropper,Tbilisi,Mtatsminda/Krtsanisi,აეროპორტთან (ლასარე),41.6934591,44.8014495,,city_only
TBC-Isani,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ქ.წამებულის 67,41.6934591,44.8014495,,city_only
tbc chavchavadze,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ჭავჭავაძის 29,41.6424924,44.9184067,,success
Prosecutor General ( 4 sartuli),Dropper,Tbilisi,Mtatsminda/Krtsanisi,გორგასლის 24,41.6767296,44.8273894,,success
TBC-Rustavi,Dropper,Rustavi,Rustavi,ქ.რუსთავი მეგობრობის 14,41.5466778,45.014959,,city_only
TBC-Ortachala,Dropper,Tbilisi,Mtatsminda/Krtsanisi,გორგასლის 41,41.6811177,44.823741,,success
NAPR HQ1 (Gorgasali Str),Dropper,Tbilisi,Mtatsminda/Krtsanisi,გორგასლის 22,41.6778639,44.8265845,,success
Bokhua,Dropper,Tbilisi,Saburtalo,ჩაჩავას 1,41.7752799,44.7763794,,success
NAPR HQ2 (Gorgasali Str),Dropper,Tbilisi,Mtatsminda/Krtsanisi,გორგასლის 22,41.6778639,44.8265845,,success
Pineo,Dropper,Tbilisi,Mtatsminda/Krtsanisi,გორგასლის 93,41.6720667,44.8339618,,success
TBC-Leonidze,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ლეონიძის 2,41.6927828,44.8009077,,success
TBC-Mtawminda,Dropper,Tbilisi,Mtatsminda/Krtsanisi,თვისუფლების მოედანი (გუდიაშვილის 7),41.6934591,44.8014495,,city_only
SkyTel,Dropper,Tbilisi,Saburtalo,გურამიშვილის 23ა,41.7657787,44.7911865,,success
National Bank of Georgia,Dropper,Tbilisi,Mtatsminda/Krtsanisi,სანაპიროს 2,41.6976527,44.8063195,,success
Ministry of Economy and Sustainable Development,Dropper,Tbilisi,Mtatsminda/Krtsanisi,სანაპიროს 2,41.6976527,44.8063195,,success
Dental mitskhevichi/ HBI-Dentinmplant,Dropper,Tbilisi,Didube,ადამ მიცკევიჩის 20,41.7241629,44.7650317,,success
Palitra Media (T. Iosebidze Str.),Dropper,Tbilisi,Didube,იოსებიძის 49,41.7253135,44.7732015,,success
CHACHAVA CLINIC,Dropper,Tbilisi,Chughureti/Central,კოსტავას 38,41.7081913,44.7850721,,success
Silknet (gotua),Dropper,Tbilisi,Chughureti/Central,ჰეიდარ ალიევის სანაპირო 7,41.7152967,44.7876912,,success
Betlive Varketili,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ვარკეთილის მეტროსთან,41.6934591,44.8014495,,city_only
bog pushkini,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ალექსანდრე პუშნიკის 3,41.6934591,44.8014495,,city_only
betlive gldani 3,Dropper,Tbilisi,Gldani/Nadzaladevi,ომარ ხიზანიშვილის 13,41.8101599,44.843347,,success
Pharagraph Bog Bank,Dropper,Tbilisi,Mtatsminda/Krtsanisi,თავისუფლების მოედანი 7,41.6938718,44.8013715,,success
LTD MARADONA,Dropper,Tbilisi,Mtatsminda/Krtsanisi,კონსტიტუციის 4,41.6934591,44.8014495,,city_only
tegeta motorsi,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ამერიკის საელჩოსთან,41.6934591,44.8014495,,city_only
New-Capital Georgian Dream,Dropper,Tbilisi,Mtatsminda/Krtsanisi,გორგასლის 20,41.6774928,44.8258976,,success
Liberty Bank HQ (Chavchavadze Ave),Dropper,Tbilisi,Didube,ჭავჭავაძის 74,41.7113011,44.7545278,,success
tbc,Dropper,Tbilisi,Chughureti/Central,აღმაშენებლის გამზირი 138ა,41.7135301,44.7940966,,success
Status,Dropper,Tbilisi,Saburtalo,ლუბლიანას 13დ,41.7752973,44.774839,,success
Artstudio Project,Dropper,Tbilisi,Didube,საკანდელიძის 3,41.7107595,44.7263579,,success
Kcall,Dropper,Tbilisi,Mtatsminda/Krtsanisi,დიღმის მასივი 1 კვარტალი 1ა,41.6934591,44.8014495,,city_only
BasisBank (Amirejibi),Dropper,Tbilisi,Didube,ამირეჯიბის 6,41.7137252,44.7696467,,success
